UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
"24191109608","GOV.ENGLISH MEDIUM SCH (POR)","VADODARA","POR","Gujarat","Local body","Primary","391243"
"24191109607","SHREE KANAM PRADESH PATIDAR SEVA SAMAJ ENGLISH","VADODARA","KAJAPUR","Gujarat","Private Unaided (Recognized)","Pri. Upper Pri. and Secondary Only","291243"
"24191109604","SHREE KANAM PRADESH PATIDAR SEVA SAMAJ","VADODARA","KAJAPUR","Gujarat","Private Unaided (Recognized)","Pri. with Upper Pri. Sec. and H.Sec.","391243"
"24191109603","SHREE SARASWATI  VIDYA MANDIR","VADODARA","POR","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391243"
"24190207202","NARIYA VASAHAT SCH.","VADODARA","NARIYA","Gujarat","Local body","Primary","391107"
"24190706201","MEDHAD PRIMARY SCHOOL","VADODARA","MEDHAD","Gujarat","Local body","Primary","391440"
"24191105402","ITOLA KRUSHI PRI SCH","VADODARA","ITOLA","Gujarat","Local body","Primary with Upper Primary","391240"
"24191111302","GYANYAGNA HIGH SCHOOL- SALAD","VADODARA","SALAD","Gujarat","Government Aided","Secondary Only","391220"
"24190705101","KURAL PRIMARY SCHOOL","VADODARA","KURAL","Gujarat","Local body","Primary with Upper Primary","391430"
"24190200801","AMBAV N.V. PRIMARY SCHOOL","VADODARA","AMBAV","Gujarat","Local body","Primary","391107"
"24190211101","VEGA PRIMARY SCHOOL","VADODARA","VEGA","Gujarat","Local body","Primary","391110"
"24190211105","AVALON WORLD SCHOOL","VADODARA","VEGA","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391110"
"24190211103","CHIMANBHAI PATEL VIDYA SANKUL","VADODARA","VEGA","Gujarat","Private Unaided (Recognized)","Pri. Upper Pri. and Secondary Only","391110"
"24190205303","DHAL NAGAR NARMADA VASAHAT SCH","VADODARA","KUKAD","Gujarat","Local body","Primary","391110"
"24190202636","SARDAR PATEL U.B. VIDYALAY","VADODARA","DABHOI(NAGAR)","Gujarat","Government Aided","Secondary Only","391110"
"24190711601","VIRPUR PRIMARY SCHOOL","VADODARA","VIRPUR","Gujarat","Local body","Primary","391445"
"24191108401","MEGHA KUI PRI.SCH.","VADODARA","MEGAKUI","Gujarat","Local body","Primary with Upper Primary","391107"
"24190211102","DARU TTARABIYAT PVT PRI SCH","VADODARA","VEGA","Gujarat","Private Unaided (Recognized)","Pri. Upper Pri. and Secondary Only","391110"
"24191111301","SALAD PRI.SCH.","VADODARA","SALAD","Gujarat","Local body","Primary with Upper Primary","391220"
"24190205302","KUKAD NARMADA VASAHAT SCH","VADODARA","KUKAD","Gujarat","Local body","Primary with Upper Primary","391110"
"24190208601","SAMSHERPURA PRIMARY SCHOOL","VADODARA","SAMSHERPURA","Gujarat","Local body","Primary","391110"
"24191113902","UNTIYA (POR) PRI.SCH.","VADODARA","KAJAPUR","Gujarat","Local body","Primary","391220"
"24190700901","BHADARA PRIMARY SCHOOL","VADODARA","BHADARA","Gujarat","Local body","Primary","391445"
"24190209309","AKOTADAR N.V. 1 PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24190701001","BHADARI PRIMARY SCHOOL","VADODARA","BHADARI","Gujarat","Local body","Primary with Upper Primary","391445"
"24190705103","SHREE PRADESH JYOTI VIDHYA MANDIR","VADODARA","KURAL","Gujarat","Government Aided","Secondary with Higher Secondary","391430"
"24190203101","FARTI KUI PRIMARY SCHOOL","VADODARA","FARTI KUI","Gujarat","Local body","Primary with Upper Primary","391107"
"24190209308","AKOTADAR PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24191105405","SHREE NARAYAN GLOBAL SCHOOL ENG MED","VADODARA","POR","Gujarat","Private Unaided (Recognized)","Pri. with Upper Pri. Sec. and H.Sec.","391243"
"24191105406","SHREE NARAYAN GLOBAL SCHOOL GUJ MED","VADODARA","POR","Gujarat","Private Unaided (Recognized)","Pri. with Upper Pri. Sec. and H.Sec.","391243"
"24190700602","VINAY VIDHYALAY AMBADA","VADODARA","AMBADA","Gujarat","Government Aided","Secondary Only","391445"
"24190700601","AMBADA PRIMARY SCHOOL","VADODARA","AMBADA","Gujarat","Local body","Primary with Upper Primary","391445"
"24190701301","BRAHAMAN VASHI PRIMARY SCHOOL","VADODARA","BRAHAMAN VASHI","Gujarat","Local body","Primary with Upper Primary","391421"
"24190704101","KALYAN KUI PRIMARY SCHOOL","VADODARA","KALYAN KUI","Gujarat","Local body","Primary","391430"
"24190202004","PANKHAR PRIMARY SCHOOL","VADODARA","BHIMPURA","Gujarat","Local body","Primary","391110"
"24191105401","ITOLA STATION PRI.SCH.","VADODARA","VADASALA","Gujarat","Local body","Primary with Upper Primary","391243"
"24191105407","SHREE BALIYADEV VIDHYAMANDIR (UPPER PRIMARY)","VADODARA","VADASALA","Gujarat","Government Aided","Upper Primary only","391243"
"24190210501","VADHVANA PRIMARY SCHOOL","VADODARA","VADHVANA","Gujarat","Local body","Primary with Upper Primary","391110"
"24190710201","THIKARIYA (MUBA) PRI.SCH","VADODARA","THIKARIYA (MUBA)","Gujarat","Local body","Primary","391440"
"24191105901","KAJAPUR PRI.SCH.","VADODARA","KAJAPUR","Gujarat","Local body","Primary with Upper Primary","391220"
"24190204301","KAJAPURA PRIMARY SCHOOL","VADODARA","KAJAPUR","Gujarat","Local body","Primary","391110"
"24190706305","VAKAL HIGHSCHOOL","VADODARA","MOBHA","Gujarat","Government Aided","Upper Pri. Secondary and Higher Sec","391430"
"24191100601","AJITPURA PRI.SCH.","VADODARA","SHAHPURA","Gujarat","Local body","Primary","383912"
"24191105404","PRANAMI VIDHYALAY","VADODARA","ITOLA","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391243"
"24191106201","KANDKUI PRI.SCH.","VADODARA","KANDKUI","Gujarat","Local body","Primary","391107"
"24190207201","NARIYA PRIMARY SCHOOL","VADODARA","NARIYA","Gujarat","Local body","Primary with Upper Primary","391107"
"24190706302","MOBHA ROAD PRI. SCH.","VADODARA","MOBHA","Gujarat","Local body","Primary","391430"
"24191105403","SHREE BALIYADEV VIDHYAMANDIR","VADODARA","VADASALA","Gujarat","Government Aided","Secondary with Higher Secondary","391243"
"24190209801","TARSANA PRIMARY SCHOOL","VADODARA","TARSANA","Gujarat","Local body","Primary","391110"
"24190703001","GAMETHA PRIMARY SCHOOL","VADODARA","GAMETHA","Gujarat","Local body","Primary with Upper Primary","391430"
"24190210301","TIMBI PRIMARY SCHOOL","VADODARA","TIMBI","Gujarat","Local body","Primary","391110"
"24190703301","GAVASAD PRIMARY SCHOOL","VADODARA","GAVASAD","Gujarat","Local body","Primary with Upper Primary","391430"
"24190703901","JALALPURA PRIMARY SCHOOL","VADODARA","JALAL PURA","Gujarat","Local body","Primary with Upper Primary","391430"
"24191114101","VADASALA PRI.SCH.","VADODARA","VADASALA","Gujarat","Local body","Primary with Upper Primary","391220"
"24190703903","GRAM SWARAJ VIDHYALAYA","VADODARA","JALAL PURA","Gujarat","Government Aided","Secondary Only","391430"
"24190210201","THUVAVI KUMAR PRIMARY SCHOOL","VADODARA","THUVAVI","Gujarat","Local body","Primary with Upper Primary","391107"
"24190210202","THUVAVI KANYA PRIMARY SCHOOL","VADODARA","THUVAVI","Gujarat","Local body","Primary","391107"
"24190206501","MORPURA PRIMARY SCHOOL","VADODARA","MORPURA","Gujarat","Local body","Primary","391110"
"24190209310","PANSOLI PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary with Upper Primary","391110"
"24191103901","FATEPURA PRI.SCH.","VADODARA","VARNAMA","Gujarat","Local body","Primary","391220"
"24191104701","HANSAPURA PRI.SCH.","VADODARA","SHAHPURA","Gujarat","Local body","Primary","391220"
"24191108301","MASTUPUR GAMADI PRI.SCH.","VADODARA","KANDKUI","Gujarat","Local body","Primary","391310"
"24190208101","PUDA PRIMARY SCHOOL","VADODARA","PUDA","Gujarat","Local body","Primary","391107"
"24190707801","RAJUPURA PRIMARY SCHOOL","VADODARA","RAJPURA","Gujarat","Local body","Primary","391445"
"24191114305","SHREE SWAMINARAYAN GURUKUL PRI SCH(GUJ)","VADODARA","VARNAMA","Gujarat","Private Unaided (Recognized)","Upper Primary only",""
"24191114306","SHREE SWAMINARAYAN GURUKUL INTERNATIONAL SCH(ENG)","VADODARA","VARNAMA","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary",""
"24190210204","SHREE D.K.PATEL SARV HIGH SCHOOL","VADODARA","THUVAVI","Gujarat","Government Aided","Secondary with Higher Secondary","391107"
"24190208301","RAJALI PRIMARY SCHOOL","VADODARA","RAJALI","Gujarat","Local body","Primary","391107"
"24190706606","BRILLIANT SCHOOL (ENGLISH MEDIUM)","VADODARA","MUVAL","Gujarat","Private Unaided (Recognized)","Primary","391430"
"24190700201","AAMLA PRIMARY SCHOOL","VADODARA","AAMLA","Gujarat","Local body","Primary with Upper Primary","391441"
"24191114701","VISHNU NAGAR PRI.SCH.","VADODARA","KARALI","Gujarat","Local body","Primary","391240"
"24190700502","AANTI KANYA PRIMARY SCHOOL","VADODARA","AANTI","Gujarat","Local body","Primary with Upper Primary","391445"
"24191109401","PATARVANI PRI.SCH.","VADODARA","PATARVANI","Gujarat","Local body","Primary","391220"
"24190708901","SARASVANI PRIMARY SCHOOL","VADODARA","SARASVANI","Gujarat","Local body","Primary with Upper Primary","391445"
"24191112301","SHAHPURA PRI.SCH.","VADODARA","SHAHPURA","Gujarat","Local body","Primary","391220"
